,year,district,rent
290,2016,23,13.69
291,2017,23,13.89
292,2018,23,14.04
293,2019,23,14.41
294,2020,23,16.02
295,2021,23,15.67
296,2022,23,17.2
297,2023,23,16.79
298,2024,23,17.08
299,2012,0,13.84
300,2013,0,14.04
301,2014,0,14.13
302,2015,0,14.18
303,2016,0,14.41
304,2017,0,14.8
305,2018,0,15.49
306,2019,0,15.37
307,2020,0,15.52
308,2021,0,15.79
309,2022,0,17.08
310,2023,0,17.42
311,2024,0,18.85
